Date,Luminosite,Humidite,CO2,Temperature,Batterie
2023-12-11 12:28:06,303.0,39.0,496.0,24.0,3.6510000000000002
2023-12-11 12:33:06,299.0,39.0,478.0,24.0,3.6510000000000002
2023-12-11 12:38:06,299.0,39.0,475.0,24.1,3.6510000000000002
2023-12-11 12:43:06,303.0,39.0,475.0,24.1,3.6510000000000002
2023-12-11 12:48:06,306.0,39.0,475.0,24.1,3.6510000000000002
2023-12-11 12:53:06,293.0,39.0,475.0,24.2,3.6510000000000002
2023-12-11 12:58:06,306.0,39.0,484.0,24.1,3.6510000000000002
2023-12-11 13:03:06,299.0,39.0,472.0,24.2,3.6510000000000002
2023-12-11 13:08:06,299.0,39.0,491.0,24.2,3.6510000000000002
2023-12-11 13:13:06,293.0,39.0,485.0,24.2,3.6510000000000002
2023-12-11 13:18:06,293.0,39.0,478.0,24.2,3.6510000000000002
2023-12-11 13:23:06,289.0,39.0,469.0,24.2,3.6510000000000002
2023-12-11 13:28:06,279.0,38.0,469.0,24.3,3.6510000000000002
2023-12-11 13:33:06,279.0,38.0,489.0,24.3,3.6510000000000002
2023-12-11 13:38:06,279.0,38.0,476.0,24.3,3.6510000000000002
2023-12-11 13:43:06,279.0,38.0,462.0,24.3,3.648
2023-12-11 13:48:06,279.0,38.0,484.0,24.3,3.6510000000000002
2023-12-11 13:53:06,282.0,38.0,473.0,24.3,3.6510000000000002
2023-12-11 13:58:06,286.0,38.0,484.0,24.4,3.6510000000000002
2023-12-11 14:03:06,279.0,38.0,481.0,24.4,3.648
2023-12-11 14:08:06,286.0,38.0,493.0,24.4,3.6510000000000002
2023-12-11 14:13:06,272.0,38.0,481.0,24.4,3.6510000000000002
2023-12-11 14:18:06,269.0,38.0,470.0,24.4,3.6510000000000002
2023-12-11 14:23:06,266.0,38.0,470.0,24.4,3.6510000000000002
2023-12-11 14:28:06,266.0,38.0,449.0,24.3,3.6510000000000002
2023-12-11 14:33:06,262.0,38.0,445.0,24.3,3.6510000000000002
2023-12-11 14:38:06,259.0,38.0,466.0,24.3,3.6510000000000002
2023-12-11 14:43:06,255.0,38.0,473.0,24.3,3.6510000000000002
2023-12-11 14:48:06,252.0,38.0,449.0,24.3,3.648
2023-12-11 14:53:06,255.0,37.0,474.0,24.4,3.6510000000000002
2023-12-11 14:58:06,252.0,37.0,466.0,24.4,3.6510000000000002
2023-12-11 15:03:06,255.0,38.0,469.0,24.4,3.6510000000000002
2023-12-11 15:08:06,255.0,38.0,484.0,24.4,3.6510000000000002
2023-12-11 15:13:06,252.0,37.0,461.0,24.4,3.6510000000000002
2023-12-11 15:18:06,255.0,37.0,477.0,24.4,3.6510000000000002
2023-12-11 15:23:06,252.0,37.0,439.0,24.2,3.6510000000000002
2023-12-11 15:28:06,245.0,37.0,430.0,23.9,3.6510000000000002
2023-12-11 15:33:06,242.0,38.0,453.0,23.6,3.6510000000000002
2023-12-11 15:38:06,239.0,38.0,493.0,23.6,3.6510000000000002
2023-12-11 15:43:06,235.0,38.0,530.0,23.8,3.6510000000000002
2023-12-11 15:48:06,232.0,38.0,534.0,23.9,3.6510000000000002
2023-12-11 15:53:06,235.0,38.0,517.0,23.8,3.6510000000000002
2023-12-11 15:58:06,232.0,38.0,445.0,23.6,3.6510000000000002
2023-12-11 16:03:06,229.0,39.0,433.0,23.4,3.6510000000000002
2023-12-11 16:08:06,229.0,39.0,436.0,23.3,3.6510000000000002
2023-12-11 16:13:06,225.0,39.0,432.0,23.1,3.6510000000000002
2023-12-11 16:18:06,225.0,39.0,428.0,23.0,3.6510000000000002
2023-12-11 16:23:06,225.0,39.0,432.0,22.9,3.6510000000000002
2023-12-11 16:28:06,222.0,40.0,428.0,22.9,3.6510000000000002
2023-12-11 16:33:06,222.0,40.0,439.0,22.7,3.6510000000000002
2023-12-11 16:38:06,215.0,40.0,433.0,22.7,3.6510000000000002
2023-12-11 16:43:06,215.0,40.0,427.0,22.6,3.6510000000000002
2023-12-11 17:18:05,208.0,40.0,457.0,23.2,3.6510000000000002
2023-12-11 17:28:04,208.0,40.0,479.0,23.3,3.6510000000000002
2023-12-11 17:33:04,208.0,40.0,480.0,23.4,3.6510000000000002
2023-12-11 17:38:04,208.0,40.0,495.0,23.5,3.6510000000000002
2023-12-11 17:43:08,208.0,40.0,523.0,23.5,3.6510000000000002
2023-12-11 17:48:08,208.0,40.0,512.0,23.6,3.6510000000000002
2023-12-11 17:53:08,208.0,40.0,505.0,23.6,3.6510000000000002
2023-12-11 17:58:09,205.0,39.0,526.0,23.7,3.6510000000000002
2023-12-11 18:03:08,208.0,39.0,514.0,23.7,3.6510000000000002
2023-12-11 18:08:08,208.0,39.0,522.0,23.8,3.6510000000000002
2023-12-11 18:13:08,208.0,39.0,525.0,23.8,3.6510000000000002
2023-12-11 18:18:08,208.0,39.0,517.0,23.9,3.6510000000000002
2023-12-11 18:23:08,208.0,39.0,525.0,23.9,3.6510000000000002
2023-12-11 18:28:08,208.0,39.0,526.0,23.9,3.653
2023-12-11 18:33:08,208.0,39.0,525.0,24.0,3.6510000000000002
2023-12-11 18:38:08,208.0,39.0,529.0,24.0,3.6510000000000002
2023-12-11 18:43:08,205.0,39.0,517.0,24.0,3.6510000000000002
2023-12-11 18:48:08,208.0,39.0,524.0,24.1,3.6510000000000002
2023-12-11 18:53:08,208.0,39.0,519.0,24.1,3.6510000000000002
2023-12-11 18:58:08,208.0,39.0,523.0,24.1,3.6510000000000002
2023-12-11 19:03:08,202.0,39.0,522.0,24.1,3.6510000000000002
